experiment,shape,variant,device,dtype,repeat,warmup,estimated_weight_size_mb,mse,mae,max_error,cosine_similarity,kl_divergence,latency_mean_ms,latency_std_ms
softmax_approx,"heads=8,seq=128x128",torch_softmax,cpu,float32,30,5,0.0,0.0,0.0,0.0,0.9999998807907104,0.0,0.03632620003675887,0.0036087533736863316
softmax_approx,"heads=8,seq=128x128",lut_exp_softmax,cpu,float32,30,5,0.0,3.8746455588260786e-13,2.755726598024921e-07,1.84476375579834e-05,0.9999998211860657,1.6514740686091045e-09,1.1251089666833043,0.08155607058132906
softmax_approx,"heads=8,seq=128x128",pwl_exp_softmax,cpu,float32,30,5,0.0,2.28154931392055e-06,0.000843788729980588,0.06587603688240051,0.9956888556480408,0.009230442345142365,1.8133692666348604,0.1482577040951501
softmax_approx,"heads=8,seq=128x128",taylor2_exp_softmax,cpu,float32,30,5,0.0,2.6961538424075115e-07,0.00026207100017927587,0.04968869686126709,0.9995436668395996,0.0014849124709144235,0.15466786665759477,0.003544096095490736
softmax_approx,"heads=8,seq=128x128",taylor3_exp_softmax,cpu,float32,30,5,0.0,3.314890584249497e-09,2.7842947019962594e-05,0.0067504048347473145,0.9999940395355225,2.6013209208031185e-05,0.179719666660579,0.004845695639377605
softmax_approx,"heads=16,seq=256x256",torch_softmax,cpu,float32,30,5,0.0,0.0,0.0,0.0,1.0000205039978027,0.0,0.13235513336743074,0.0032120190858142186
softmax_approx,"heads=16,seq=256x256",lut_exp_softmax,cpu,float32,30,5,0.0,9.347005862445773e-14,1.3283904820582393e-07,1.6361474990844727e-05,1.0000205039978027,1.3451156855026625e-10,4.338767866662844,0.17505977429270606
softmax_approx,"heads=16,seq=256x256",pwl_exp_softmax,cpu,float32,30,5,0.0,7.497346246054803e-07,0.0004757411079481244,0.05493994057178497,0.9943115711212158,0.010621929541230202,7.362296966630311,1.2010230783450335
softmax_approx,"heads=16,seq=256x256",taylor2_exp_softmax,cpu,float32,30,5,0.0,1.0836265573743731e-07,0.00016297951515298337,0.05520834028720856,0.999304473400116,0.0021479325369000435,0.32178450002599374,0.0067822157985545865
softmax_approx,"heads=16,seq=256x256",taylor3_exp_softmax,cpu,float32,30,5,0.0,1.4666174941169174e-09,1.8366603399044834e-05,0.008440092206001282,1.0000125169754028,4.1160463297273964e-05,4.3294491333502565,0.28451711676132313
