experiment,shape,variant,device,dtype,repeat,warmup,estimated_weight_size_mb,mse,mae,max_error,cosine_similarity,latency_mean_ms,latency_std_ms
linear_quant,"batch=1,seq=256,in=1024,out=1024",fp32,cuda,float32,30,5,4.0,0.0,0.0,0.0,1.0,0.08002269996723044,0.004531443745673087
linear_quant,"batch=1,seq=256,in=1024,out=1024",fp16,cuda,float32,30,5,2.0,1.293534239721339e-07,0.0002831633319146931,0.00194549560546875,0.9999999403953552,0.0411096666236214,0.0035950939303944795
linear_quant,"batch=1,seq=256,in=1024,out=1024",int8_fake_quant,cuda,float32,30,5,1.0,0.00023399654310196638,0.012209918349981308,0.07054729759693146,0.9998822212219238,0.1639645001584237,0.00593422686650114
linear_quant,"batch=1,seq=256,in=1024,out=1024",int4_weight_only_fake_quant,cuda,float32,30,5,0.5,0.02050207182765007,0.11366761475801468,0.8248652815818787,0.9898551106452942,0.12795413331332384,0.0037008252188739984
linear_quant,"batch=1,seq=256,in=2048,out=2048",fp32,cuda,float32,30,5,16.0,0.0,0.0,0.0,1.0000001192092896,0.1872499334543439,0.0016977201847865712
linear_quant,"batch=1,seq=256,in=2048,out=2048",fp16,cuda,float32,30,5,8.0,1.7288462572651042e-07,0.0003226979461032897,0.0038919448852539062,1.0,0.07689600027636818,0.003705977592495374
linear_quant,"batch=1,seq=256,in=2048,out=2048",int8_fake_quant,cuda,float32,30,5,4.0,0.00028319063130766153,0.013432164676487446,0.07864463329315186,0.999858021736145,0.4987050666689659,0.012984099598546678
linear_quant,"batch=1,seq=256,in=2048,out=2048",int4_weight_only_fake_quant,cuda,float32,30,5,2.0,0.022634079679846764,0.1196267306804657,0.7675637006759644,0.9888333082199097,0.47111973329568474,0.01732788493965519
linear_quant,"batch=1,seq=128,in=4096,out=4096",fp32,cuda,float32,30,5,64.0,0.0,0.0,0.0,1.0,0.429854333287949,0.002820767292598352
linear_quant,"batch=1,seq=128,in=4096,out=4096",fp16,cuda,float32,30,5,32.0,2.1605751499009784e-07,0.0003566161321941763,0.0038068294525146484,0.9999998211860657,0.34506609996848664,0.0022104900372865695
linear_quant,"batch=1,seq=128,in=4096,out=4096",int8_fake_quant,cuda,float32,30,5,16.0,0.0002576865954324603,0.012810097075998783,0.08269274234771729,0.9998707175254822,2.32073306666886,0.04555979827320626
linear_quant,"batch=1,seq=128,in=4096,out=4096",int4_weight_only_fake_quant,cuda,float32,30,5,8.0,0.024749182164669037,0.12508749961853027,0.7715702652931213,0.9878243207931519,2.2441793332594293,0.008575467869297295
