experiment,shape,variant,device,dtype,repeat,warmup,estimated_weight_size_mb,mse,mae,max_error,cosine_similarity,latency_mean_ms,latency_std_ms
gelu_approx,1x256x2048,torch_gelu,cuda,float32,30,5,0.0,0.0,0.0,0.0,1.0000001192092896,0.009456000043428503,0.002400471653247403
gelu_approx,1x256x2048,tanh_gelu,cuda,float32,30,5,0.0,4.871487391255869e-08,0.00016029704420361668,0.0004734992980957031,1.0,0.008838633372458085,0.0013618564961676717
gelu_approx,1x256x2048,pwl_gelu,cuda,float32,30,5,0.0,0.0006121455226093531,0.012184973806142807,0.07548808306455612,0.9999258518218994,0.8709892999528771,0.010385453018302253
gelu_approx,1x256x2048,lut_gelu,cuda,float32,30,5,0.0,9.542873435908206e-11,4.898242877970915e-06,3.858376294374466e-05,1.0000001192092896,0.10479689990461338,0.003876736429206143
rmsnorm_approx,1x256x2048,fp32_rmsnorm,cuda,float32,30,5,0.0078125,0.0,0.0,0.0,0.9999998807907104,0.03677260016653842,0.00973024435341028
rmsnorm_approx,1x256x2048,fp16_rmsnorm,cuda,float32,30,5,0.0078125,2.306568376297946e-07,0.00033364916453137994,0.003074049949645996,0.9999998807907104,0.057123300060387315,0.01196504711656996
rmsnorm_approx,1x256x2048,int8_input_fake_quant_rmsnorm,cuda,float32,30,5,0.0078125,1.547431747894734e-05,0.0033993362449109554,0.00782787799835205,0.9999921917915344,0.07516856673343379,0.01069664574655468
rmsnorm_approx,1x256x2048,approx_rsqrt_rmsnorm,cuda,float32,30,5,0.0078125,7.750939308242243e-15,5.337957986739639e-08,5.960464477539062e-07,1.0,0.06790119999398787,0.011303760762592329
