experiment,module,shape,variant,device,dtype,repeat,warmup,num_parameters,estimated_weight_size_MB,fp32_weight_size_MB,fp16_weight_size_MB,int8_weight_size_MB,int4_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms
pi0_aligned_random_quant,vlm_attention_o_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",int8_fake_quant,cuda,float32,5,3,4196352,4.001953125,16.0078125,8.00390625,4.001953125,2.0009765625,4.0,0.0003001140139531344,0.013824177905917168,0.08921259641647339,0.9998499751091003,0.017323097214102745,1.0333746000128485,0.004476290768137707
pi0_aligned_random_quant,vlm_attention_o_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.022513145580887794,0.11925925314426422,0.8715918064117432,0.9889286756515503,0.1500377357006073,0.9505223999894952,0.003147075043238816
pi0_aligned_random_quant,vlm_attention_o_proj_seq1024,"[1,1024,2048]->[1,1024,2048]",w4a8_fake_quant,cuda,float32,5,3,4196352,2.0009765625,16.0078125,8.00390625,4.001953125,2.0009765625,8.0,0.02266113832592964,0.11965532600879669,0.8605458736419678,0.988856852054596,0.15053007006645203,1.0521640000092702,0.015184281603346778
pi0_aligned_random_quant,vlm_gated_ffn_seq128,"[1,128,2048]->[1,128,2048]",fp32,cuda,float32,10,3,100698112,384.1328125,384.1328125,192.06640625,96.033203125,48.0166015625,1.0,0.0,0.0,0.0,1.0,0.0,2.395524399992155,0.004544770933990455
pi0_aligned_random_quant,vlm_gated_ffn_seq128,"[1,128,2048]->[1,128,2048]",fp16,cuda,float32,10,3,100698112,192.06640625,384.1328125,192.06640625,96.033203125,48.0166015625,2.0,2.3245820557349361e-07,0.0003797477693296969,0.003493070602416992,0.9999997615814209,0.000734887202270329,2.1846837999987656,0.009866230272378198
pi0_aligned_random_quant,vlm_gated_ffn_seq128,"[1,128,2048]->[1,128,2048]",int8_fake_quant,cuda,float32,8,3,100698112,96.033203125,384.1328125,192.06640625,96.033203125,48.0166015625,4.0,0.0011258188169449568,0.026766270399093628,0.16953402757644653,0.998694658279419,0.05114256590604782,13.942594250011098,0.06253979252552572
pi0_aligned_random_quant,vlm_gated_ffn_seq128,"[1,128,2048]->[1,128,2048]",int4_weight_only_fake_quant,cuda,float32,8,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.033574484288692474,0.14611706137657166,0.8849390745162964,0.9631499648094177,0.2792884111404419,13.677720500005819,0.015584702979889807
pi0_aligned_random_quant,vlm_gated_ffn_seq128,"[1,128,2048]->[1,128,2048]",w4a8_fake_quant,cuda,float32,8,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.03451690077781677,0.148179829120636,0.9040220379829407,0.9621800184249878,0.28318101167678833,13.797824000000958,0.018980665474613807
pi0_aligned_random_quant,vlm_gated_ffn_seq256,"[1,256,2048]->[1,256,2048]",fp32,cuda,float32,10,3,100698112,384.1328125,384.1328125,192.06640625,96.033203125,48.0166015625,1.0,0.0,0.0,0.0,0.9999999403953552,0.0,5.810814000000164,0.006764202160274073
pi0_aligned_random_quant,vlm_gated_ffn_seq256,"[1,256,2048]->[1,256,2048]",fp16,cuda,float32,10,3,100698112,192.06640625,384.1328125,192.06640625,96.033203125,48.0166015625,2.0,2.2877510730268114e-07,0.0003766873851418495,0.0028798580169677734,0.9999997615814209,0.0007336525595746934,2.847256400002607,0.01954287713056291
pi0_aligned_random_quant,vlm_gated_ffn_seq256,"[1,256,2048]->[1,256,2048]",int8_fake_quant,cuda,float32,8,3,100698112,96.033203125,384.1328125,192.06640625,96.033203125,48.0166015625,4.0,0.001192011870443821,0.027545759454369545,0.1562492996454239,0.9986010789871216,0.05295736342668533,18.110165000003065,0.38535256030793125
pi0_aligned_random_quant,vlm_gated_ffn_seq256,"[1,256,2048]->[1,256,2048]",int4_weight_only_fake_quant,cuda,float32,8,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.0331415981054306,0.1451367288827896,0.8978765606880188,0.9632211327552795,0.27923688292503357,17.130975625008205,0.012504342541517421
pi0_aligned_random_quant,vlm_gated_ffn_seq256,"[1,256,2048]->[1,256,2048]",w4a8_fake_quant,cuda,float32,8,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.03438200801610947,0.1478487253189087,0.9011105298995972,0.9619276523590088,0.2844144403934479,17.457882124993773,0.11147225201730572
pi0_aligned_random_quant,vlm_gated_ffn_seq512,"[1,512,2048]->[1,512,2048]",fp32,cuda,float32,5,3,100698112,384.1328125,384.1328125,192.06640625,96.033203125,48.0166015625,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,11.62518399999044,0.0074931758886150526
pi0_aligned_random_quant,vlm_gated_ffn_seq512,"[1,512,2048]->[1,512,2048]",fp16,cuda,float32,5,3,100698112,192.06640625,384.1328125,192.06640625,96.033203125,48.0166015625,2.0,2.2942901978240116e-07,0.0003772026102524251,0.0031948089599609375,0.9999997615814209,0.0007344874320551753,4.387105999978758,0.011651236105182662
pi0_aligned_random_quant,vlm_gated_ffn_seq512,"[1,512,2048]->[1,512,2048]",int8_fake_quant,cuda,float32,5,3,100698112,96.033203125,384.1328125,192.06640625,96.033203125,48.0166015625,4.0,0.001362100476399064,0.029455870389938354,0.18534421920776367,0.9984021782875061,0.056593265384435654,23.9953836000268,0.019884585738758183
pi0_aligned_random_quant,vlm_gated_ffn_seq512,"[1,512,2048]->[1,512,2048]",int4_weight_only_fake_quant,cuda,float32,5,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.03306226432323456,0.14497017860412598,0.9342174530029297,0.9632872939109802,0.2788216471672058,23.715037399983885,0.5468536573738534
pi0_aligned_random_quant,vlm_gated_ffn_seq512,"[1,512,2048]->[1,512,2048]",w4a8_fake_quant,cuda,float32,5,3,100698112,48.0166015625,384.1328125,192.06640625,96.033203125,48.0166015625,8.0,0.03417510911822319,0.1473778337240219,0.9709839224815369,0.9621171355247498,0.28347525000572205,24.03707599999052,0.06553784164224345
